source,author,title,description,url,urlToImage,publishedAt,content,company,ticker
"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Tencent Music beats quarterly revenue estimates on user additions - Reuters,"China's Tencent Music Entertainment Group beat Wall Street estimates for quarterly revenue on Monday, as the music streaming service added more paying users during coronavirus-induced lockdowns.",https://www.reuters.com/article/us-tencent-music-results-idUSKCN2562IJ,https://s2.reutersmedia.net/resources/r/?m=02&d=20200810&t=2&i=1529115346&w=1200&r=LYNXNPEG791NF,2020-08-10T20:12:00Z,"(Reuters) - China’s Tencent Music Entertainment Group (TME.N) beat Wall Street estimates for quarterly revenue on Monday, as the music streaming service added more paying users during coronavirus-ind… [+333 chars]",Tencent,TCEHY
"{'id': 'google-news', 'name': 'Google News'}",,Tencent Loses $66 Billion on Trump Ban - Bloomberg Markets and Finance,"<ol><li>Tencent Loses $66 Billion on Trump Ban  Bloomberg Markets and Finance
</li><li>Games help Tencent smash second-quarter earnings expectations as potential WeChat ban looms  CNBC
</li><li>Tencent's profits are soaring. But it still has to contend with…",https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9cEtMZnZwN2J1dWfSAQA?oc=5,,2020-08-11T02:02:08Z,,Tencent,TCEHY
"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Tencent Music beats quarterly revenue estimates on user additions - Reuters India,"China's Tencent Music Entertainment Group beat Wall Street estimates for quarterly revenue on Monday, as the music streaming service added more paying users during coronavirus-induced lockdowns.",https://in.reuters.com/article/us-tencent-music-results-idINKCN2562IJ,https://s2.reutersmedia.net/resources/r/?m=02&d=20200810&t=2&i=1529115346&w=1200&r=LYNXNPEG791NF,2020-08-10T20:18:00Z,"(Reuters) - China’s Tencent Music Entertainment Group (TME.N) beat Wall Street estimates for quarterly revenue on Monday, as the music streaming service added more paying users during coronavirus-ind… [+333 chars]",Tencent,TCEHY
"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Tencent Music beats quarterly revenue estimates on user strength - Reuters UK,"China's Tencent Music Entertainment Group beat Wall Street estimates for quarterly revenue on Monday, as the music streaming service added more paying users during coronavirus-induced lockdowns.",https://uk.reuters.com/article/us-tencent-music-results-idUKKCN2562IJ,https://s2.reutersmedia.net/resources/r/?m=02&d=20200810&t=2&i=1529115346&w=1200&r=LYNXNPEG791NF,2020-08-10T20:19:00Z,"(Reuters) - China’s Tencent Music Entertainment Group (TME.N) beat Wall Street estimates for quarterly revenue on Monday, as the music streaming service added more paying users during coronavirus-ind… [+333 chars]",Tencent,TCEHY
"{'id': 'reuters', 'name': 'Reuters'}",Pei Li,WeChat owner Tencent investments in the United States and beyond - Reuters India,"U.S. President Donald Trump has issued an executive order banning U.S. transactions involving Chinese social media and video game leader Tencent Holdings Ltd, owner of messaging app WeChat, on national security grounds.",https://in.reuters.com/article/usa-wechat-trump-factbox-idINKCN2530JI,https://s2.reutersmedia.net/resources/r/?m=02&d=20200807&t=2&i=1528716691&w=1200&r=LYNXNPEG760BI,2020-08-07T05:45:00Z,"HONG KONG (Reuters) - U.S. President Donald Trump has issued an executive order banning U.S. transactions involving Chinese social media and video game leader Tencent Holdings Ltd, owner of messaging… [+1902 chars]",Tencent,TCEHY
"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Shares of Taiwan's TSMC soar after Intel's apparent manufacturing retreat - Reuters,Shares of Taiwan Semiconductor Manufacturing Co Ltd (TSMC) jumped on Monday after U.S. chipmaker Intel signaled it may stop manufacturing its own chip components.,https://www.reuters.com/article/us-taiwan-tsmc-stocks-idUSKCN24S05Q,https://s3.reutersmedia.net/resources/r/?m=02&d=20200727&t=2&i=1527211117&w=1200&r=LYNXNPEG6Q03J,2020-07-27T02:11:00Z,"TAIPEI (Reuters) - Shares of Taiwan Semiconductor Manufacturing Co Ltd (TSMC) jumped on Monday after U.S. chipmaker Intel signaled it may stop manufacturing its own chip components. 
Intel last week… [+335 chars]",Taiwan Semiconductor,TSM
"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Japan plans to invite TSMC to build joint chip plant - Yomiuri - Reuters India,"Japan is aiming to invite Taiwan Semiconductor Manufacturing Co Ltd or other global chipmakers to build an advanced chip manufacturing plant jointly with domestic chip equipment suppliers, the Yomiuri daily reported on Sunday.",https://in.reuters.com/article/japan-tsmc-idINKCN24K05L,https://s4.reutersmedia.net/resources/r/?m=02&d=20200719&t=2&i=1526287430&w=1200&r=LYNXNPEG6I02R,2020-07-19T05:36:00Z,TOKYO (Reuters) - Japan is aiming to invite Taiwan Semiconductor Manufacturing Co Ltd or other global chipmakers to build an advanced chip manufacturing plant jointly with domestic chip equipment sup… [+948 chars],Taiwan Semiconductor,TSM
"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Japan plans to invite TSMC to build joint chip plant - Yomiuri - Reuters India,"Japan is aiming to invite Taiwan Semiconductor Manufacturing Co Ltd <2330.TW> or other global chipmakers to build an advanced chip manufacturing plant jointly with domestic chip equipment suppliers, the Yomiuri daily reported on Sunday.",https://in.reuters.com/article/us-japan-tsmc-idINKCN24K03B,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2020-07-19T03:26:00Z,TOKYO (Reuters) - Japan is aiming to invite Taiwan Semiconductor Manufacturing Co Ltd (2330.TW) or other global chipmakers to build an advanced chip manufacturing plant jointly with domestic chip equ… [+958 chars],Taiwan Semiconductor,TSM
"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Japan plans to invite TSMC to build joint chip plant - Yomiuri - Reuters UK,"Japan is aiming to invite Taiwan Semiconductor Manufacturing Co Ltd <2330.TW> or other global chipmakers to build an advanced chip manufacturing plant jointly with domestic chip equipment suppliers, the Yomiuri daily reported on Sunday.",https://uk.reuters.com/article/uk-japan-tsmc-idUKKCN24K068,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2020-07-19T12:34:00Z,TOKYO (Reuters) - Japan is aiming to invite Taiwan Semiconductor Manufacturing Co Ltd (2330.TW) or other global chipmakers to build an advanced chip manufacturing plant jointly with domestic chip equ… [+1071 chars],Taiwan Semiconductor,TSM
"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Chipmaker SMIC inks $7.6 billion investment deal for wafer production - Reuters,China's Semiconductor Manufacturing International Corp (SMIC) said on Friday it would establish a joint venture company to develop wafer production units in Beijing to bump up its semiconductor output and reduce costs.,https://www.reuters.com/article/us-china-smic-semiconductor-idUSKCN24W2D6,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2020-07-31T15:20:00Z,(Reuters) - China’s Semiconductor Manufacturing International Corp (SMIC) said on Friday it would establish a joint venture company to develop wafer production units in Beijing to bump up its semicon… [+940 chars],Taiwan Semiconductor,TSM
